PW 4056 00 X,PW 4056 00 Y,PW 4056 05 X,PW 4056 05 Y,PW 4056 10 X,PW 4056 10 Y,PW 4056 15 X,PW 4056 15 Y,PW 4056 20 X,PW 4056 20 Y,PW 4056 25 X,PW 4056 25 Y,PW 4056 30 X,PW 4056 30 Y,PW 4056 35 X,PW 4056 35 Y,PW 4056 40 X,PW 4056 40 Y,PW 4056 45 X,PW 4056 45 Y
1.00070776,42645.08655,0.951062236,38989.1156,0.981006595,34990.5502,3.12906002,23957.42561,3.350540055,20198.07338,4.082171162,15829.87138,5.197023606,12246.28026,5.929307595,9210.881644,7.235760414,5998.583293,7.394163782,3728.439053
1.064302028,42212.51547,1.046518337,38472.33858,1.076515633,34581.83833,3.320278077,23548.24794,3.541772816,19818.91379,4.273477446,15600.80227,5.388400472,12161.298,6.120725634,9209.950048,7.395275447,5997.806963,7.585581821,3727.507457
1.127905118,41797.95524,1.141986201,37979.57604,1.172012906,34149.11197,3.495559923,23170.36671,3.733002637,19433.75059,4.464786671,15377.73678,5.579786161,12094.3266,6.312143673,9209.018452,7.650481853,5960.543122,7.77699986,3726.575861
1.207403834,41269.24862,1.23746583,37510.82798,1.267516062,33728.39286,3.670837653,22784.08042,3.924250103,19084.60911,4.656098837,15160.67491,5.771165968,12015.34796,6.503544066,9172.065143,7.841902833,5965.615145,7.968406135,3701.629789
1.286917254,40770.56009,1.332939576,37030.07267,1.3630251,33319.68098,3.862061591,22386.90999,4.115506392,18753.47848,4.847413944,14949.61665,5.962545775,11936.36932,6.694959164,9165.129928,8.033309108,5940.669074,8.159818292,3688.690956
1.366436557,40283.8788,1.428430968,36585.33908,1.458540019,32922.97634,4.053294353,22007.7504,4.306768563,18434.35508,5.038734933,14750.56564,6.153931464,11869.39791,6.886362499,9134.180238,8.22473597,5957.748334,8.351251036,3717.777454
1.461875012,39731.08007,1.523934124,36164.61997,1.569977032,32466.15788,4.244524174,21622.5872,4.498027792,18109.22807,5.230058863,14557.51824,6.345311271,11790.41927,7.077780537,9133.248642,8.416154009,5956.816738,8.542672016,3722.849477
1.557348759,39250.32477,1.619449043,35767.91533,1.697350845,31979.2437,4.435765758,21261.43848,4.689310549,17832.13001,5.421376911,14352.4636,6.53669696,11723.44787,7.269180931,9096.295333,8.607572048,5955.885142,8.734090055,3721.917881
1.652846033,38817.59842,1.714958081,35359.20345,1.824724657,31492.32951,4.627007342,20900.28976,4.880584484,17537.02109,5.612703782,14165.41982,6.728079708,11650.47285,7.460581324,9059.342024,8.798984205,5942.946308,8.925508094,3720.986285
1.748337425,38372.86483,1.810473,34962.49881,1.952107292,31023.42618,4.818251867,20545.14465,5.071873122,17271.93027,5.804039475,13996.3869,6.919465397,11583.50145,7.651999363,9058.410428,8.99039048,5918.000237,9.116926133,3720.054689
1.843846462,37964.15295,1.921911484,34508.68216,2.079489926,30554.52284,5.009505215,20208.0104,5.26315882,17000.83583,5.995369287,13815.34674,7.110848145,11510.52643,7.843414461,9051.475214,9.181808519,5917.068641,9.308335349,3701.112236
1.939337854,37519.41936,2.049276473,34003.75712,2.206894618,30130.64665,5.200758563,19870.87615,5.4544504,16741.74862,6.186713803,13664.32467,7.302236775,11449.55864,8.034811914,9008.518286,9.373226558,5916.137045,9.451890055,3682.402683
2.034846892,37110.70748,2.176645874,33507.8375,2.334308133,29724.78132,5.392023675,19557.75638,5.645744921,16488.66504,6.378037733,13471.27728,7.493616582,11370.58,8.226218189,8983.572215,9.484869435,5879.571901,,
2.130355929,36701.99561,2.304024098,33029.92874,2.4776458,29263.0047,5.583277023,19220.62213,5.837051205,16259.59593,6.569376367,13308.24797,7.685005212,11309.61222,8.417621524,8952.622524,,,,
2.241806177,36272.19343,2.431406733,32561.02541,2.620989643,28813.83568,5.774545075,18913.50597,6.01241775,16054.61892,6.760717942,13151.22229,7.940188091,11224.31942,8.609033681,8939.683691,,,,
2.369202046,35830.30639,2.558793779,32101.12751,2.764342309,28382.67751,5.965816068,18612.39344,6.219672597,15819.46856,6.95206834,13012.20746,8.131556134,11121.32631,8.800434074,8902.730382,,,,
2.496580269,35352.39763,2.686194059,31668.24589,2.92362795,27913.61891,6.157084121,18305.27728,6.410993585,15620.41754,7.143421679,12879.19625,8.322941823,11054.35491,8.991819763,8835.758979,,,,
2.623967316,34892.49972,2.81359434,31235.36427,3.082924179,27466.17334,6.348366878,18028.17922,6.602302811,15397.35205,7.334772077,12740.18142,8.514318689,10969.37265,9.183220157,8798.80567,,,,
2.751363185,34450.61268,2.940999031,30811.48808,3.242216878,27011.52343,6.539652576,17757.08478,6.79362674,15204.30465,7.494231232,12625.33633,8.705698496,10890.39401,9.374629373,8779.863218,,,,
2.878767876,34026.73649,3.068408134,30396.61732,3.385611893,26666.81738,6.730929451,17467.97948,6.984959493,15029.26811,7.717481696,12480.16262,8.897078304,10811.41537,9.534135583,8761.076031,,,,
3.006159334,33575.84401,3.19582606,29999.75741,3.592701755,26094.864,6.922238676,17244.91399,7.176283423,14836.22071,7.908843857,12365.16226,9.088461052,10738.44034,,,,,,
3.117649284,33227.09069,3.323252809,29620.90836,3.752019158,25690.64449,7.113539079,17003.83764,7.367622057,14673.19141,8.100211901,12262.16915,9.279829095,10635.44723,,,,,,
3.26097754,32746.10249,3.466610768,29200.55671,3.927282183,25274.3401,7.304842422,16768.76491,7.558948928,14486.14763,8.291574063,12147.1688,9.439304425,10553.62204,,,,,,
3.388391055,32340.23715,3.625899939,28738.70246,4.118476712,24817.13348,7.496157529,16557.70665,7.750287562,14323.11833,8.482942106,12044.17568,,,,,,,,
3.53174725,31916.28333,3.785189109,28276.8482,4.30969771,24413.95942,7.687466754,16334.64116,7.941626196,14160.08902,8.674321913,11965.19704,,,,,,,,
3.675103445,31492.32951,3.944495925,27851.01566,4.500912826,23998.77813,7.846906794,16180.77255,8.13296189,13991.0561,8.865684075,11850.19669,,,,,,,,
3.818454346,31057.56917,4.119741304,27398.68956,4.692130883,23589.60045,,,8.324294642,13816.01956,9.057058,11759.21081,,,,,,,,
3.977747045,30602.91926,4.279059296,26995.67077,4.931166983,23105.745,,,8.515639159,13664.99749,9.248431925,11668.22493,,,,,,,,
4.13705739,30184.29106,4.42242696,26595.13106,5.106446477,22723.06088,,,8.643207071,13574.32215,9.376023365,11625.57853,,,,,,,,
4.296364206,29758.45852,4.597709983,26219.65129,5.297682179,22349.90492,,,,,,,,,,,,,,
4.45568161,29354.239,4.788880985,25714.41571,5.488932586,22006.76705,,,,,,,,,,,,,,
4.630921695,28891.10639,4.980107865,25323.24889,5.680177111,21651.62195,,,,,,,,,,,,,,
4.806180602,28466.39694,5.171305336,24872.04589,5.8714334,21320.49132,,,,,,,,,,,,,,
4.981428334,28018.87374,5.362529275,24474.87545,6.062698512,21007.37154,,,,,,,,,,,,,,
5.172631687,27579.67797,5.537825237,24125.81159,6.253951859,20670.23729,,,,,,,,,,,,,,
5.363829157,27128.47496,5.713106496,23746.72965,6.445225794,20375.12838,,,,,,,,,,,,,,
5.555047214,26719.29729,5.904359844,23409.5954,6.636493846,20068.01222,,,,,,,,,,,,,,
5.74626233,26304.11599,6.095598487,23042.44305,6.827758958,19754.89245,,,,,,,,,,,,,,
5.937483328,25900.94194,6.28686948,22741.33052,7.019021128,19435.76905,,,,,,,,,,,,,,
6.128719031,25527.78597,6.430327137,22524.50154,7.194364146,19182.7631,,,,,,,,,,,,,,
6.304030286,25209.94094,,,,,,,,,,,,,,,,,,
